,ddG
355,-1.0
356,-2.1
357,-2.8
358,-0.7
359,-2.3
360,-1.7
361,-0.2
362,-0.2
363,-1.5
364,-2.1
365,-0.4
366,0.0
367,-0.4
368,0.1
369,0.0
370,-0.6
371,-1.7
372,-2.2
373,-5.7
374,-3.3
375,-4.7
376,-1.2
377,-1.4
378,-1.3
379,-0.3
380,-0.8
381,-1.0
382,-0.3
383,-0.5
384,-1.8
385,0.0
386,-0.5
387,-0.1
388,-1.6
389,0.0
390,-0.1
391,-0.1
392,-1.2
393,-1.2
394,-2.9
395,-3.9
396,-3.4
397,-5.9
398,-1.1
399,-3.8
400,-0.6
401,-5.0
402,-3.7
403,-3.7
404,-0.6
405,0.1
406,-0.6
407,-0.7
408,-1.04
409,-1.09
410,-0.79
411,-1.17
412,0.55
413,-0.05
414,0.38
415,0.75
416,-0.37
417,0.6
418,-3.7
419,-2.3
420,0.4
421,0.1
422,-0.18
423,-0.12
424,0.26
425,-0.92
426,-0.6
427,-0.62
428,-0.7
429,-1.1
430,-1.75
431,-2.62
432,1.1
433,-1.1
434,-0.1
435,-0.26
436,0.2
437,-0.68
438,-0.52
439,-0.83
440,-0.62
441,-0.45
442,0.0
443,-0.05
444,0.04
445,-0.6
446,-1.1
447,-1.9
448,0.6
449,0.9
450,-0.1
451,-0.6
452,-0.6
453,0.0
454,-1.9
455,0.44
456,-0.22
457,-0.04
458,-0.6
459,-1.5
460,-0.8
461,-2.2
462,-1.4
463,-1.6
464,-0.8
465,-1.1
466,0.1
467,-1.7
468,-2.04
469,-0.8
470,0.0
471,0.0
472,-0.1
473,-0.4
474,0.6
475,0.96
476,-0.54
477,-0.3
478,-1.4
479,-0.3
480,-1.4
481,-0.6
482,0.8
483,-0.5
484,-1.1
485,-0.9
486,-2.2
487,-1.3
488,-1.3
489,0.2
490,-2.0
491,5.0
492,-0.7
493,-2.1
494,-0.7
495,-0.8
496,-0.32
497,-0.29
498,-0.31
499,-0.45
500,0.01
501,-0.57
502,-0.58
503,0.07
504,0.24
505,-0.13
506,-0.61
507,-0.97
508,0.11
509,-0.03
510,0.48
511,-0.03
512,-1.88
513,-1.46
514,-0.19
515,-0.11
516,0.69
517,0.17
518,0.1
519,-0.3
520,-0.05
521,2.35
522,-0.3
523,-0.1
524,-0.5
525,-1.2
526,0.0
527,-1.8
528,-0.95
529,-0.75
530,-0.5
531,0.06
532,-0.31
533,-0.31
534,0.43
535,0.04
536,0.35
537,-0.48
538,2.5
539,2.7
540,3.3
541,2.9
542,-3.91
543,-2.97
544,-3.56
545,-0.1
546,-0.59
547,1.41
548,0.8
549,-0.46
550,-0.66
551,-1.31
552,-0.79
553,-0.48
554,-0.62
555,-0.25
556,-0.15
557,-0.33
558,2.75
559,1.59
560,1.14
561,1.77
562,1.8
563,0.08
564,-0.16
565,2.8
566,0.23
567,0.05
568,0.29
569,-0.31
570,-1.16
571,-0.19
572,0.2
573,2.18
574,1.6
575,1.7
576,-2.07
577,-1.47
578,-0.84
579,0.22
580,-0.37
581,-0.17
582,-0.22
583,-0.08
584,-1.41
585,-1.39
586,1.53
587,-0.55
588,-3.6
589,-3.6
590,-0.4
591,1.75
592,0.38
593,-1.47
594,0.46
595,-0.04
596,-0.2
597,0.28
598,0.04
599,1.4
600,1.58
601,1.1
602,-3.6
603,-2.03
604,-1.9
605,-1.75
606,-1.65
607,-1.45
608,-1.95
609,-1.35
610,-2.25
611,-1.45
612,-2.55
613,-1.85
614,0.45
615,-2.35
616,-1.65
617,-2.85
618,-0.15
619,-1.45
620,-4.55
621,-4.05
622,-3.65
623,-2.65
624,-0.15
625,-1.15
626,0.15
627,-0.95
628,0.15
629,-0.85
630,-1.55
631,-1.15
632,-1.0
633,-1.43
634,-1.05
635,0.84
636,0.57
637,-0.81
638,-2.58
639,-0.51
640,-0.57
641,0.62
642,-2.04
643,-1.98
644,-0.23
645,1.4
646,-0.42
647,-2.8
648,-0.59
649,-0.6
650,-0.43
651,-1.36
652,-1.07
653,-0.73
654,-2.04
655,-0.68
656,-3.11
657,-3.95
658,-2.18
659,-2.5
660,-1.56
661,-2.39
662,-0.38
663,-3.11
664,-3.44
665,-2.39
666,-2.51
667,-0.07
668,-0.72
669,-2.34
670,-0.36
671,-1.44
672,-0.96
673,-1.08
674,0.0
675,-3.11
676,0.96
677,-1.71
678,-1.37
679,-1.84
680,-0.98
681,-2.82
682,-0.75
683,-1.35
684,0.2
685,-1.19
686,-2.37
687,-0.89
688,-1.0
689,-1.08
690,-3.6
691,-4.73
692,0.19
693,-1.94
694,-2.53
695,-2.63
696,-1.12
697,-0.8
698,-1.45
699,-2.68
700,-2.1
701,-3.03
702,-2.8
703,-1.92
704,-2.24
705,0.04
706,-2.54
707,-1.13
708,-0.09
709,-1.28
710,-0.42
711,-0.41
712,0.07
713,0.83
714,0.46
715,1.1
716,1.43
717,0.41
718,-0.38
719,-2.39
720,-1.81
721,-3.28
722,-2.69
723,-3.76
724,-2.64
725,-3.5
726,-2.93
727,-1.36
728,-2.74
729,-2.47
730,-1.34
731,-1.86
732,-1.98
733,-0.97
734,-0.27
735,-0.44
736,-1.99
737,-2.53
738,-1.52
739,-2.2
740,-3.88
741,-3.72
742,-0.73
743,-1.1
744,-1.64
745,-1.17
746,-0.71
747,0.32
748,0.2
749,0.59
750,-0.05
751,-0.51
752,-0.27
753,-0.1
754,-0.64
755,-0.79
756,-1.41
757,0.01
758,-0.14
759,-1.05
760,-1.33
761,-1.0
762,-0.57
763,-1.46
764,-0.88
765,-2.76
766,-2.06
767,-0.64
768,-1.69
769,-3.43
770,-2.22
771,-0.61
772,-2.31
773,-3.8
774,-2.34
775,-4.76
776,-4.1
777,-4.73
778,-4.41
779,-0.12
780,-2.18
781,-1.41
782,-1.26
783,-1.46
784,-3.11
785,0.16
786,-0.75
787,-0.55
788,-1.0
789,-0.44
790,-1.48
791,-2.17
792,-2.28
793,-2.14
794,-2.23
795,-0.31
796,-1.99
797,-3.74
798,0.19
799,-0.24
800,-0.1
801,-1.8
802,-2.55
803,-3.74
804,-2.92
805,-4.09
806,0.57
807,0.46
808,0.51
809,-0.52
810,1.31
811,0.69
812,-0.45
813,-0.17
814,-0.48
815,-0.85
816,-3.29
817,-4.22
818,-0.09
819,-0.39
820,-1.37
821,-2.73
822,-3.43
823,-0.62
824,-0.15
825,-0.88
826,-2.65
827,-2.63
828,-0.14
829,-0.68
830,-0.96
831,-0.23
832,-1.88
833,-1.79
834,-4.12
835,-0.6
836,-1.75
837,-0.46
838,-1.13
839,-2.59
840,0.69
841,0.21
842,1.05
843,0.24
844,0.13
845,-0.22
846,-0.79
847,0.06
848,-1.32
849,-1.26
850,-3.22
851,-0.44
852,0.12
853,-0.7
854,-0.26
855,-0.79
856,-0.75
857,-0.97
858,-0.02
859,-0.06
860,-0.38
861,-0.76
862,-0.34
863,-0.4
864,-1.6
865,-0.7
866,-0.79
867,-0.85
868,-0.8
869,-0.28
870,0.19
871,0.2
872,0.09
873,0.1
874,-0.25
875,0.24
876,-0.02
877,-0.25
878,0.2
879,-0.1
880,-0.17
881,-0.08
882,-0.32
883,-1.47
884,-1.83
885,-1.57
886,-0.89
887,0.16
888,-1.68
889,-0.09
890,-0.51
891,0.0
892,0.19
893,0.25
894,-0.16
895,-0.48
896,-0.3
897,-0.03
898,-0.6
899,-0.25
900,-0.4
901,-0.55
902,0.04
903,-1.31
904,-0.5
905,-0.26
906,-0.69
907,0.05
908,-1.07
909,-0.15
910,0.1
911,0.0
912,-0.75
913,-0.39
914,-0.15
915,-0.22
916,-0.47
917,-0.58
918,-1.85
919,-0.3
920,-1.38
921,-1.03
922,-1.88
923,-4.6
924,-1.11
925,-2.05
926,-3.34
927,-3.81
928,-4.78
929,-0.96
930,-2.3
931,-2.18
932,-4.43
933,-0.76
934,-1.42
935,-2.38
936,-3.84
937,-1.6
938,-1.63
939,-2.77
940,-4.58
941,-1.83
942,-1.85
943,-3.66
944,-3.09
945,-3.58
946,-1.51
947,-3.79
948,-1.82
949,-2.78
950,-1.51
951,-0.28
952,-2.06
953,-0.14
954,-1.35
955,-1.26
956,-0.77
957,-1.15
958,-2.6
959,-3.18
960,-1.04
961,-1.42
962,-1.61
963,-1.95
964,-0.84
965,-0.31
966,-1.81
967,-2.54
968,-0.56
969,-0.76
970,-2.06
971,-1.62
972,-4.66
973,-1.43
974,-0.73
975,-4.43
976,-4.44
977,-4.39
978,-2.3
979,-4.98
980,-1.88
981,-2.34
982,-1.61
983,-1.03
984,-0.97
985,-0.97
986,0.59
987,-0.38
988,-0.35
989,0.25
990,-1.5
991,-0.1
992,-0.51
993,-0.44
994,-0.1
995,-0.55
996,-2.26
997,-0.25
998,-0.93
999,-0.02
1000,-0.58
1001,-1.25
1002,-1.32
1003,-2.55
1004,-2.84
1005,-2.4
1006,-1.64
1007,-2.86
1008,-1.38
1009,-2.26
1010,-1.1
1011,-2.06
1012,-0.79
1013,-2.53
1014,0.83
1015,-1.0
1016,-1.52
1017,-0.82
1018,0.62
1019,0.56
1020,-1.03
1021,-1.08
1022,-1.59
1023,-1.87
1024,-1.54
1025,-0.57
1026,-1.63
1027,-0.73
1028,-1.2
1029,-1.16
1030,-0.05
1031,-0.35
1032,-0.26
1033,-1.69
1034,-0.95
1035,-2.54
1036,-0.61
1037,-0.74
1038,-0.85
1039,-1.52
1040,-1.04
1041,-2.62
1042,0.73
1043,-1.35
1044,0.47
1045,0.07
1046,0.74
1047,-1.79
1048,0.86
1049,-0.88
1050,0.9
1051,-0.23
1052,-0.04
1053,-0.37
1054,-0.56
1055,0.04
1056,0.09
1057,-2.23
1058,-1.05
1059,-3.52
1060,-1.17
1061,-2.15
1062,0.1
1063,-0.89
1064,-0.19
1065,-2.03
1066,0.51
1067,-0.75
1068,0.24
1069,-2.82
1070,0.27
1071,-0.76
1072,-4.86
1073,-2.45
1074,-4.26
1075,-4.82
1076,-0.74
1077,-0.88
1078,-4.71
1079,-2.36
1080,0.14
1081,-0.03
1082,-0.15
1083,-1.07
1084,-0.04
1085,-0.31
1086,-2.7
1087,-1.93
1088,0.03
1089,-0.02
1090,-4.76
1091,-3.34
1092,-2.16
1093,-4.61
1094,0.11
1095,-0.9
1096,-2.44
1097,-1.55
1098,-0.05
1099,-0.17
1100,0.09
1101,-0.1
1102,0.01
1103,0.2
1104,-2.34
1105,-4.49
1106,-0.76
1107,-4.83
1108,0.37
1109,-0.14
1110,-3.09
1111,-1.34
1112,-2.69
1113,-3.23
1114,-1.91
1115,-1.12
1116,-3.88
1117,-3.35
1118,-0.14
1119,-0.15
1120,-3.36
1121,0.06
1122,0.07
1123,-0.2
1124,0.2
1125,-0.25
1126,-0.02
1127,-0.56
1128,-0.22
1129,-2.72
1130,-0.4
1131,-1.86
1132,-2.28
1133,-3.78
1134,-1.55
1135,-1.94
1136,-3.83
1137,-3.31
1138,-3.05
1139,-3.21
1140,-3.18
1141,-2.65
1142,-0.72
1143,-1.97
1144,-0.38
1145,-1.72
1146,-3.31
1147,-0.41
1148,-0.07
1149,-1.05
1150,-0.15
1151,-2.27
1152,-3.83
1153,-1.81
1154,-4.53
1155,-1.71
1156,-2.62
1157,-0.73
1158,-2.2
1159,-3.07
1160,-2.04
1161,-2.88
1162,-1.95
1163,-3.36
1164,-0.33
1165,-0.9
1166,-1.3
1167,-0.1
1168,-1.33
1169,-0.1
1170,-2.08
1171,-2.22
1172,-3.01
1173,-0.55
1174,-1.89
1175,-1.24
1176,-1.06
1177,0.56
1178,-1.71
1179,-1.07
1180,0.58
1181,-2.27
1182,-0.7
1183,-2.39
1184,-2.62
1185,-3.04
1186,-2.18
1187,-2.26
1188,-1.78
1189,-2.56
1190,-1.99
1191,2.72
1192,2.35
1193,-0.9
1194,-0.5
1195,-1.0
1196,-0.4
1197,-0.6
1198,-1.9
1199,-2.0
1200,-0.8
1201,-0.6
1202,-0.3
1203,-0.1
1204,-1.8
1205,-0.4
1206,-0.1
1207,-1.8
1208,-2.3
1209,-1.6
1210,-0.6
1211,-1.5
1212,0.1
1213,-0.1
1214,-0.2
1215,-1.4
1216,-0.1
1217,-0.2
1218,-0.3
1219,-0.3
1220,-0.1
1221,-0.8
1222,-1.5
1223,0.2
1224,0.2
1225,0.4
1226,0.5
1227,-1.8
1228,0.0
1229,-0.6
1230,0.1
1231,-0.8
1232,-1.2
1233,-1.6
1234,-1.3
1235,-1.2
1236,-1.5
1237,-1.5
1238,-0.3
1239,-2.3
1240,-0.2
1241,-1.18
1242,-2.49
1243,-1.56
1244,-1.98
1245,-0.65
1246,-0.18
1247,-4.86
1248,-0.11
1249,-3.33
1250,-0.72
1251,-4.11
1252,-1.28
1253,-0.67
1254,-0.33
1255,-0.69
1256,-0.4
1257,-0.99
1258,-2.88
1259,-1.81
1260,0.13
1261,-1.17
1262,-1.37
1263,-2.85
1264,-0.91
1265,-3.17
1266,-1.97
1267,-4.23
1268,-0.54
1269,-2.74
1270,-1.49
1271,-2.14
1272,-1.11
1273,0.13
1274,-0.22
1275,-1.9
1276,0.81
1277,-0.21
1278,0.07
1279,-0.1
1280,-0.6
1281,0.6
1282,0.51
1283,0.1
1284,-0.11
1285,-0.42
1286,0.0
1287,-1.3
1288,-0.7
1289,-0.57
1290,-3.16
1291,-1.55
1292,-1.7
1293,-0.35
1294,-1.66
1295,-1.75
1296,-1.19
1297,-0.1
1298,-0.17
1299,-3.11
1300,-0.58
1301,-0.73
1302,-0.44
1303,0.03
1304,-2.02
1305,-1.09
1306,-2.07
1307,0.21
1308,-1.8
1309,-1.85
1310,-0.8
1311,1.43
1312,-0.26
1313,0.14
1314,0.24
1315,-0.53
1316,0.05
1317,0.36
1318,-1.36
1319,-0.05
1320,0.57
1321,-1.29
1322,-0.26
1323,-0.74
1324,-0.77
1325,-0.41
1326,-0.5
1327,-0.91
1328,0.43
1329,-1.2
1330,0.12
1331,-1.1
1332,-0.29
1333,-0.5
1334,0.07
1335,-0.07
1336,0.33
1337,-0.26
1338,0.19
1339,-0.77
1340,-0.31
1341,-0.8
1342,2.4
1343,1.7
1344,-1.1
1345,-2.7
1346,-0.9
1347,-1.7
1348,-1.7
1349,-0.3
1350,-0.3
1351,-2.7
1352,-3.2
1353,-1.8
1354,-1.1
1355,-1.3
1356,-1.0
1357,0.9
1358,-2.13
1359,-0.3
1360,-2.25
1361,-2.0
1362,-0.98
1363,-2.1
1364,-1.05
1365,-0.79
1366,-1.72
1367,-0.19
1368,-2.13
1369,0.07
1370,-0.93
1371,-0.65
1372,2.66
1373,-0.6
1374,-0.19
1375,1.39
1376,0.43
1377,-0.96
1378,-0.41
1379,-0.93
1380,-1.15
1381,-0.24
1382,-2.44
1383,-0.6
1384,-1.17
1385,-2.39
1386,-0.26
1387,-1.2
1388,-2.6
1389,-2.6
1390,-1.1
1391,-0.7
1392,-0.4
1393,0.5
1394,-2.3
1395,-3.8
1396,1.3
1397,-0.33
1398,-0.95
1399,0.3
1400,-1.85
1401,-1.24
1402,-3.67
1403,-3.98
1404,-2.56
1405,-3.67
1406,-2.43
1407,-3.82
1408,-1.22
1409,0.0
1410,-3.67
1411,-2.84
1412,-3.26
1413,-0.31
1414,-2.4
1415,-2.73
1416,-0.76
1417,-3.82
1418,-2.68
1419,1.49
1420,0.6
1421,0.5
1422,0.5
1423,0.05
1424,0.75
1425,-0.65
1426,-1.19
1427,-0.13
1428,0.0
1429,0.41
1430,-0.82
1431,-0.1
1432,-1.1
1433,-2.1
1434,1.1
1435,-2.5
1436,-3.3
1437,-1.2
1438,-3.3
1439,-0.6
1440,-2.4
1441,-1.1
1442,-1.9
1443,-0.1
1444,-0.7
1445,-1.1
1446,-1.1
1447,-0.2
1448,-2.9
1449,-0.6
1450,-5.2
1451,-3.3
1452,-3.1
1453,-0.4
1454,-3.3
1455,-1.6
1456,-2.7
1457,-1.9
1458,-1.9
1459,-2.1
1460,-1.3
1461,-0.4
1462,-4.7
1463,-1.7
1464,-4.5
1465,-0.6
1466,-0.9
1467,0.0
1468,0.4
1469,0.1
1470,-0.1
1471,-0.5
1472,-0.9
1473,-2.7
1474,-2.2
1475,-3.8
1476,-1.7
1477,-0.4
1478,-1.7
1479,-1.8
1480,-0.2
1481,0.3
1482,-0.8
1483,-1.2
1484,-1.0
1485,-1.1
1486,-1.2
1487,-0.2
1488,-1.2
1489,-1.8
1490,-1.8
1491,-0.9
1492,-1.3
1493,-1.0
1494,-2.8
1495,-2.8
1496,-2.5
1497,-1.5
1498,0.4
1499,0.14
1500,2.5
1501,-1.1
1502,0.9
1503,-1.9
1504,-2.45
1505,0.0
1506,-0.6
1507,0.6
1508,0.8
1509,-0.78
1510,0.31
1511,0.38
1512,-4.12
1513,-4.2
1514,-0.93
1515,-1.34
1516,-3.24
1517,-3.95
1518,-2.2
1519,-1.72
1520,-1.19
1521,-2.93
1522,-3.6
1523,-0.13
1524,-1.08
1525,-0.66
1526,0.46
1527,-0.37
1528,-0.71
1529,-0.15
1530,-0.14
1531,-0.67
1532,0.89
1533,-1.82
1534,0.33
1535,-0.26
1536,-0.81
1537,0.07
1538,1.72
1539,1.82
1540,0.46
1541,1.77
1542,-1.25
1543,-4.04
1544,-2.13
1545,-4.42
1546,-3.97
1547,-2.92
1548,-5.26
1549,-2.61
1550,-4.54
1551,-2.87
1552,-2.26
1553,-4.1
1554,-1.2
1555,-0.5
1556,0.8
1557,-4.3
1558,-2.6
1559,0.26
1560,-2.25
1561,-0.4
1562,-0.8
1563,-0.8
1564,-2.6
1565,-0.7
1566,-0.2
1567,-0.7
1568,-0.5
1569,-2.3
1570,-4.2
1571,-3.4
1572,-1.7
1573,0.89
1574,0.37
1575,0.27
1576,-2.03
1577,0.0
1578,-2.05
1579,0.62
1580,0.81
1581,-0.2
1582,2.85
1583,-0.6
1584,0.9
1585,0.6
1586,1.2
1587,1.5
1588,0.1
1589,0.8
1590,-1.54
1591,-1.28
1592,-1.16
1593,0.55
1594,-2.7
1595,-0.51
1596,-0.55
1597,-1.33
1598,-2.29
1599,-2.3
1600,-1.5
1601,-0.57
1602,0.63
1603,1.04
1604,-2.41
1605,-1.7
1606,-1.6
1607,-0.9
1608,-1.26
1609,0.39
1610,0.1
1611,0.13
1612,0.7
1613,0.73
1614,1.67
1615,2.19
1616,-2.09
1617,-0.1
1618,-0.33
1619,1.1
1620,0.81
1621,0.02
1622,-1.0
1623,-0.02
1624,-4.6
1625,0.07
1626,0.05
1627,-1.7
1628,-3.7
1629,-1.0
1630,-3.73
1631,-1.7
1632,-0.8
1633,-0.53
1634,-1.29
1635,-0.62
1636,-0.55
1637,0.14
1638,-1.39
1639,-1.77
1640,-0.4
1641,-1.79
1642,-0.29
1643,-0.86
1644,0.45
1645,-0.12
1646,-0.36
1647,-0.14
1648,-0.53
1649,-0.93
1650,-0.98
1651,-2.54
1652,-0.41
1653,-3.71
1654,-4.09
1655,-0.1
1656,-1.77
1657,-6.67
1658,-1.34
1659,-1.32
1660,-0.81
1661,-3.83
1662,0.0
1663,-1.29
1664,-3.59
1665,-2.22
1666,-0.93
1667,-3.78
1668,-2.7
1669,-0.35
1670,-0.6
1671,-0.12
1672,-3.73
1673,0.19
1674,0.05
1675,0.0
1676,-1.2
1677,0.91
1678,2.06
1679,1.32
1680,1.15
1681,0.43
1682,0.53
1683,-0.57
1684,-1.65
1685,-0.29
1686,0.07
1687,0.17
1688,-0.05
1689,0.48
1690,0.86
1691,0.07
1692,0.53
1693,0.07
1694,2.4
1695,0.89
1696,-0.14
1697,-1.75
1698,-1.6
1699,-1.12
1700,-1.51
1701,-1.44
1702,-0.86
1703,-2.3
1704,1.1
1705,-0.05
1706,-0.31
1707,-1.34
1708,-0.38
1709,-1.41
1710,-0.36
1711,-0.43
1712,-0.43
1713,-0.29
1714,-0.22
1715,0.45
1716,0.19
1717,0.65
1718,-0.33
1719,-0.07
1720,-0.38
1721,-0.24
1722,-1.0
1723,-0.67
1724,-0.89
1725,-0.5
1726,-0.36
1727,-2.8
1728,-0.5
1729,-2.5
1730,-2.49
1731,-0.19
1732,-2.32
1733,0.07
1734,-0.96
1735,-0.24
1736,-2.32
1737,0.7
1738,0.48
1739,-0.6
1740,0.5
1741,-2.6
1742,-2.1
1743,-0.7
1744,-1.5
1745,-1.0
1746,0.0
1747,-1.0
1748,-1.54
1749,-0.31
1750,-1.16
1751,-0.66
1752,-1.03
1753,-0.2
1754,0.7
1755,0.15
1756,0.3
1757,-0.2
1758,-0.09
1759,-0.89
1760,-0.8
1761,-0.74
1762,-2.7
1763,1.2
1764,-1.72
1765,-1.79
1766,0.2
1767,-1.22
1768,-4.53
1769,-0.7
1770,-1.3
1771,0.0
1772,-2.3
1773,-5.1
1774,0.0
1775,-2.6
1776,-2.9
1777,-5.0
1778,-5.11
1779,-4.67
1780,-2.22
1781,0.91
1782,-1.0
1783,1.39
1784,-3.92
1785,1.65
1786,-2.15
1787,0.96
1788,-2.13
1789,-1.46
1790,-0.6
1791,1.51
1792,1.32
1793,-3.32
1794,-1.96
1795,-1.58
1796,-0.86
1797,-1.32
1798,-0.79
1799,-0.14
1800,-2.82
1801,-3.4
1802,-3.3
1803,-2.92
1804,-0.26
1805,-2.56
1806,-1.27
1807,-0.43
1808,-0.05
1809,-1.63
1810,-4.9
1811,-1.89
1812,-3.01
1813,-5.38
1814,-3.73
1815,-2.12
1816,-1.69
1817,-0.64
1818,1.79
1819,-1.08
1820,-2.15
1821,-1.65
1822,-0.58
1823,-1.73
1824,-1.11
1825,-1.91
1826,-1.86
1827,-1.77
1828,-2.03
1829,-1.43
1830,-2.85
1831,-3.48
1832,0.12
1833,-1.47
1834,-0.2
1835,-0.95
1836,-0.88
1837,-1.94
1838,-0.44
1839,0.04
1840,0.59
1841,-0.83
1842,-0.2
1843,0.56
1844,0.48
1845,0.22
1846,0.51
1847,-0.19
1848,0.8
1849,0.59
1850,0.16
1851,0.32
1852,0.38
1853,0.38
1854,0.27
1855,0.67
1856,0.62
1857,0.15
1858,-0.39
1859,0.55
1860,0.78
1861,0.27
1862,0.41
1863,-0.24
1864,0.05
1865,0.54
1866,0.22
1867,0.23
1868,0.19
1869,0.44
1870,-4.0
1871,-4.0
1872,-4.0
1873,-4.0
1874,-4.0
1875,-4.0
1876,-4.0
1877,-4.0
1878,-4.0
1879,-4.0
1880,-4.0
1881,-4.0
1882,-4.0
1883,-2.33
1884,-4.0
1885,-2.41
1886,-4.0
1887,-4.0
1888,-2.6
1889,-1.85
1890,-1.46
1891,-3.19
1892,-0.67
1893,-2.81
1894,0.11
1895,-0.45
1896,-1.46
1897,-4.0
1898,-2.33
1899,-2.93
1900,-0.53
1901,-0.38
1902,0.02
1903,-2.0
1904,0.35
1905,0.46
1906,0.0
1907,-0.12
1908,-0.08
1909,0.07
1910,0.5
1911,0.51
1912,-0.04
1913,0.13
1914,0.54
1915,0.12
1916,0.29
1917,0.16
1918,0.33
1919,0.41
1920,-1.08
1921,-0.82
1922,-1.08
1923,-1.03
1924,-0.99
